TimeSlice	Time	Comm. Vel. 2	Perc. Position	Ext MN 2	GTC 2	LTC 2
333	0.01998	-0.0507752	-0.050052	-0.0504245	-0.0596301	-0.0603651
336	0.02016	-0.0507655	-0.0500525	-0.050424	-0.0596327	-0.0603626
339	0.02034	-0.050756	-0.050053	-0.0504236	-0.0596353	-0.0603601
342	0.02052	-0.0507468	-0.0500535	-0.0504231	-0.0596378	-0.0603577
345	0.0207	-0.0507377	-0.050054	-0.0504227	-0.0596403	-0.0603554
348	0.02088	-0.0507289	-0.0500546	-0.0504223	-0.0596426	-0.0603531
351	0.02106	-0.0507202	-0.050055	-0.0504219	-0.0596449	-0.0603509
354	0.02124	-0.0507118	-0.0500555	-0.0504214	-0.0596471	-0.0603488
357	0.02142	-0.0507035	-0.050056	-0.050421	-0.0596492	-0.0603468
360	0.0216	-0.0506955	-0.0500565	-0.0504207	-0.0596513	-0.0603448
363	0.02178	-0.0506876	-0.050057	-0.0504203	-0.0596533	-0.0603428
366	0.02196	-0.0506799	-0.0500575	-0.0504199	-0.0596553	-0.060341
369	0.02214	-0.0506724	-0.0500579	-0.0504195	-0.0596572	-0.0603391
372	0.02232	-0.0506651	-0.0500584	-0.0504191	-0.059659	-0.0603374
375	0.0225	-0.0506579	-0.0500589	-0.0504188	-0.0596608	-0.0603356
378	0.02268	-0.0506509	-0.0500593	-0.0504184	-0.0596626	-0.060334
381	0.02286	-0.0506441	-0.0500598	-0.050418	-0.0596643	-0.0603323
384	0.02304	-0.0506374	-0.0500602	-0.0504177	-0.0596659	-0.0603308
387	0.02322	-0.0506309	-0.0500607	-0.0504173	-0.0596675	-0.0603292
390	0.0234	-0.0506246	-0.0500611	-0.050417	-0.0596691	-0.0603277
393	0.02358	-0.0506184	-0.0500615	-0.0504166	-0.0596706	-0.0603263
396	0.02376	-0.0506123	-0.050062	-0.0504163	-0.0596721	-0.0603248
399	0.02394	-0.0506064	-0.0500624	-0.050416	-0.0596735	-0.0603235
402	0.02412	-0.0506007	-0.0500628	-0.0504156	-0.0596749	-0.0603221
405	0.0243	-0.0505951	-0.0500632	-0.0504153	-0.0596763	-0.0603208
408	0.02448	-0.0505896	-0.0500636	-0.050415	-0.0596776	-0.0603195
411	0.02466	-0.0505842	-0.050064	-0.0504146	-0.0596789	-0.0603183
414	0.02484	-0.050579	-0.0500644	-0.0504143	-0.0596802	-0.060317
417	0.02502	-0.0505739	-0.0500648	-0.050414	-0.0596814	-0.0603158
420	0.0252	-0.0505689	-0.0500652	-0.0504137	-0.0596826	-0.0603147
423	0.02538	-0.050564	-0.0500656	-0.0504134	-0.0596838	-0.0603135
426	0.02556	-0.0505593	-0.050066	-0.050413	-0.0596849	-0.0603124
429	0.02574	-0.0505547	-0.0500664	-0.0504127	-0.0596861	-0.0603113
432	0.02592	-0.0505502	-0.0500668	-0.0504124	-0.0596872	-0.0603103
435	0.0261	-0.0505457	-0.0500671	-0.0504121	-0.0596882	-0.0603092
438	0.02628	-0.0505414	-0.0500675	-0.0504118	-0.0596893	-0.0603082
441	0.02646	-0.0505372	-0.0500679	-0.0504115	-0.0596903	-0.0603072
444	0.02664	-0.0505331	-0.0500682	-0.0504112	-0.0596913	-0.0603062
447	0.02682	-0.0505291	-0.0500686	-0.0504109	-0.0596923	-0.0603053
450	0.027	-0.0505252	-0.050069	-0.0504106	-0.0596933	-0.0603043
453	0.02718	-0.0505214	-0.0500693	-0.0504103	-0.0596942	-0.0603034
456	0.02736	-0.0505177	-0.0500697	-0.05041	-0.0596952	-0.0603025
459	0.02754	-0.050514	-0.05007	-0.0504097	-0.0596961	-0.0603016
462	0.02772	-0.0505105	-0.0500704	-0.0504094	-0.059697	-0.0603007
465	0.0279	-0.050507	-0.0500707	-0.0504091	-0.0596979	-0.0602999
468	0.02808	-0.0505036	-0.050071	-0.0504088	-0.0596987	-0.060299
471	0.02826	-0.0505003	-0.0500714	-0.0504085	-0.0596996	-0.0602982
474	0.02844	-0.0504971	-0.0500717	-0.0504082	-0.0597004	-0.0602974
477	0.02862	-0.0504939	-0.050072	-0.0504079	-0.0597012	-0.0602966
480	0.0288	-0.0504909	-0.0500724	-0.0504076	-0.0597021	-0.0602958
483	0.02898	-0.0504878	-0.0500727	-0.0504073	-0.0597028	-0.060295
486	0.02916	-0.0504849	-0.050073	-0.050407	-0.0597036	-0.0602943
489	0.02934	-0.050482	-0.0500733	-0.0504067	-0.0597044	-0.0602935
492	0.02952	-0.0504792	-0.0500736	-0.0504064	-0.0597052	-0.0602928
495	0.0297	-0.0504765	-0.050074	-0.0504062	-0.0597059	-0.0602921
498	0.02988	-0.0504738	-0.0500743	-0.0504059	-0.0597066	-0.0602913
501	0.03006	-0.0504712	-0.0500746	-0.0504056	-0.0597074	-0.0602906
504	0.03024	-0.0504686	-0.0500749	-0.0504053	-0.0597081	-0.0602899
507	0.03042	-0.0504661	-0.0500752	-0.050405	-0.0597088	-0.0602893
510	0.0306	-0.0504636	-0.0500755	-0.0504047	-0.0597095	-0.0602886
513	0.03078	-0.0504612	-0.0500758	-0.0504045	-0.0597101	-0.0602879
516	0.03096	-0.0504589	-0.0500761	-0.0504042	-0.0597108	-0.0602872
519	0.03114	-0.0504566	-0.0500764	-0.0504039	-0.0597115	-0.0602866
522	0.03132	-0.0504543	-0.0500767	-0.0504036	-0.0597121	-0.060286
525	0.0315	-0.0504522	-0.0500769	-0.0504033	-0.0597128	-0.0602853
528	0.03168	-0.05045	-0.0500772	-0.0504031	-0.0597134	-0.0602847
531	0.03186	-0.0504479	-0.0500775	-0.0504028	-0.0597141	-0.0602841
534	0.03204	-0.0504458	-0.0500778	-0.0504025	-0.0597147	-0.0602835
537	0.03222	-0.0504438	-0.0500781	-0.0504022	-0.0597153	-0.0602829
540	0.0324	-0.0504418	-0.0500784	-0.050402	-0.0597159	-0.0602823
543	0.03258	-0.0504399	-0.0500786	-0.0504017	-0.0597165	-0.0602817
546	0.03276	-0.050438	-0.0500789	-0.0504014	-0.0597171	-0.0602811
549	0.03294	-0.0504362	-0.0500792	-0.0504011	-0.0597177	-0.0602805
552	0.03312	-0.0504343	-0.0500795	-0.0504009	-0.0597183	-0.0602799
555	0.0333	-0.0504326	-0.0500797	-0.0504006	-0.0597189	-0.0602794
558	0.03348	-0.0504308	-0.05008	-0.0504003	-0.0597195	-0.0602788
561	0.03366	-0.0504291	-0.0500803	-0.0504001	-0.05972	-0.0602782
564	0.03384	-0.0504274	-0.0500805	-0.0503998	-0.0597206	-0.0602777
567	0.03402	-0.0504258	-0.0500808	-0.0503995	-0.0597211	-0.0602771
570	0.0342	-0.0504242	-0.050081	-0.0503993	-0.0597217	-0.0602766
573	0.03438	-0.0504226	-0.0500813	-0.050399	-0.0597222	-0.0602761
576	0.03456	-0.050421	-0.0500816	-0.0503987	-0.0597228	-0.0602755
579	0.03474	-0.0504195	-0.0500818	-0.0503985	-0.0597233	-0.060275
582	0.03492	-0.050418	-0.0500821	-0.0503982	-0.0597239	-0.0602745
585	0.0351	-0.0504166	-0.0500823	-0.0503979	-0.0597244	-0.060274
588	0.03528	-0.0504151	-0.0500826	-0.0503977	-0.0597249	-0.0602734
591	0.03546	-0.0504137	-0.0500828	-0.0503974	-0.0597254	-0.0602729
594	0.03564	-0.0504123	-0.0500831	-0.0503971	-0.0597259	-0.0602724
597	0.03582	-0.0504109	-0.0500833	-0.0503969	-0.0597264	-0.0602719
600	0.036	-0.0504096	-0.0500836	-0.0503966	-0.059727	-0.0602714
603	0.03618	-0.0504083	-0.0500838	-0.0503963	-0.0597275	-0.0602709
606	0.03636	-0.050407	-0.050084	-0.0503961	-0.059728	-0.0602704
609	0.03654	-0.0504057	-0.0500843	-0.0503958	-0.0597285	-0.0602699
612	0.03672	-0.0504045	-0.0500845	-0.0503956	-0.059729	-0.0602695
615	0.0369	-0.0504032	-0.0500848	-0.0503953	-0.0597294	-0.060269
618	0.03708	-0.050402	-0.050085	-0.050395	-0.0597299	-0.0602685
621	0.03726	-0.0504008	-0.0500852	-0.0503948	-0.0597304	-0.060268
624	0.03744	-0.0503997	-0.0500855	-0.0503945	-0.0597309	-0.0602675
627	0.03762	-0.0503985	-0.0500857	-0.0503943	-0.0597314	-0.0602671
630	0.0378	-0.0503974	-0.0500859	-0.050394	-0.0597318	-0.0602666
633	0.03798	-0.0503963	-0.0500862	-0.0503937	-0.0597323	-0.0602661
636	0.03816	-0.0503952	-0.0500864	-0.0503935	-0.0597328	-0.0602657
639	0.03834	-0.0503941	-0.0500866	-0.0503932	-0.0597332	-0.0602652
642	0.03852	-0.050393	-0.0500869	-0.050393	-0.0597337	-0.0602648
645	0.0387	-0.050392	-0.0500871	-0.0503927	-0.0597342	-0.0602643
648	0.03888	-0.0503909	-0.0500873	-0.0503925	-0.0597346	-0.0602639
651	0.03906	-0.0503899	-0.0500875	-0.0503922	-0.0597351	-0.0602634
654	0.03924	-0.0503889	-0.0500878	-0.0503919	-0.0597355	-0.060263
657	0.03942	-0.0503879	-0.050088	-0.0503917	-0.059736	-0.0602625
660	0.0396	-0.0503869	-0.0500882	-0.0503914	-0.0597364	-0.0602621
663	0.03978	-0.050386	-0.0500884	-0.0503912	-0.0597369	-0.0602616
666	0.03996	-0.050385	-0.0500886	-0.0503909	-0.0597373	-0.0602612
669	0.04014	-0.0503841	-0.0500889	-0.0503907	-0.0597378	-0.0602608
672	0.04032	-0.0503831	-0.0500891	-0.0503904	-0.0597382	-0.0602603
675	0.0405	-0.0503822	-0.0500893	-0.0503902	-0.0597387	-0.0602599
678	0.04068	-0.0503813	-0.0500895	-0.0503899	-0.0597391	-0.0602595
681	0.04086	-0.0503804	-0.0500897	-0.0503896	-0.0597395	-0.060259
684	0.04104	-0.0503795	-0.0500899	-0.0503894	-0.05974	-0.0602586
687	0.04122	-0.0503787	-0.0500902	-0.0503891	-0.0597404	-0.0602582
690	0.0414	-0.0503778	-0.0500904	-0.0503889	-0.0597408	-0.0602577
693	0.04158	-0.0503769	-0.0500906	-0.0503886	-0.0597413	-0.0602573
696	0.04176	-0.0503761	-0.0500908	-0.0503884	-0.0597417	-0.0602569
699	0.04194	-0.0503753	-0.050091	-0.0503881	-0.0597421	-0.0602565
702	0.04212	-0.0503744	-0.0500912	-0.0503879	-0.0597425	-0.0602561
705	0.0423	-0.0503736	-0.0500914	-0.0503876	-0.0597429	-0.0602556
708	0.04248	-0.0503728	-0.0500916	-0.0503873	-0.0597434	-0.0602552
711	0.04266	-0.050372	-0.0500919	-0.0503871	-0.0597438	-0.0602548
714	0.04284	-0.0503712	-0.0500921	-0.0503868	-0.0597442	-0.0602544
717	0.04302	-0.0503705	-0.0500923	-0.0503866	-0.0597446	-0.060254
720	0.0432	-0.0503697	-0.0500925	-0.0503863	-0.059745	-0.0602536
723	0.04338	-0.0503689	-0.0500927	-0.0503861	-0.0597454	-0.0602532
726	0.04356	-0.0503682	-0.0500929	-0.0503858	-0.0597459	-0.0602528
729	0.04374	-0.0503674	-0.0500931	-0.0503856	-0.0597463	-0.0602524
732	0.04392	-0.0503667	-0.0500933	-0.0503853	-0.0597467	-0.060252
735	0.0441	-0.0503659	-0.0500935	-0.0503851	-0.0597471	-0.0602516
738	0.04428	-0.0503652	-0.0500937	-0.0503848	-0.0597475	-0.0602512
741	0.04446	-0.0503645	-0.0500939	-0.0503845	-0.0597479	-0.0602507
744	0.04464	-0.0503637	-0.0500941	-0.0503843	-0.0597483	-0.0602503
747	0.04482	-0.050363	-0.0500943	-0.050384	-0.0597487	-0.0602499
750	0.045	-0.0503623	-0.0500945	-0.0503838	-0.0597491	-0.0602495
753	0.04518	-0.0503616	-0.0500947	-0.0503835	-0.0597495	-0.0602491
756	0.04536	-0.0503609	-0.0500949	-0.0503833	-0.0597499	-0.0602488
759	0.04554	-0.0503602	-0.0500951	-0.050383	-0.0597503	-0.0602484
762	0.04572	-0.0503595	-0.0500953	-0.0503828	-0.0597507	-0.060248
765	0.0459	-0.0503589	-0.0500955	-0.0503825	-0.0597511	-0.0602476
