TimeSlice	Time	Perc. Position	Range of Motion 2	CPG Speed 2
492	0.02952	-0.0500736	-0.06	-0.0580055
495	0.0297	-0.050074	-0.06	-0.0580053
498	0.02988	-0.0500743	-0.06	-0.0580051
501	0.03006	-0.0500746	-0.06	-0.0580049
504	0.03024	-0.0500749	-0.06	-0.0580047
507	0.03042	-0.0500752	-0.06	-0.0580046
510	0.0306	-0.0500755	-0.06	-0.0580044
513	0.03078	-0.0500758	-0.06	-0.0580042
516	0.03096	-0.0500761	-0.06	-0.0580041
519	0.03114	-0.0500764	-0.06	-0.0580039
522	0.03132	-0.0500767	-0.06	-0.0580038
525	0.0315	-0.0500769	-0.06	-0.0580037
528	0.03168	-0.0500772	-0.06	-0.0580035
531	0.03186	-0.0500775	-0.06	-0.0580034
534	0.03204	-0.0500778	-0.06	-0.0580033
537	0.03222	-0.0500781	-0.06	-0.0580032
540	0.0324	-0.0500784	-0.06	-0.0580031
543	0.03258	-0.0500786	-0.06	-0.058003
546	0.03276	-0.0500789	-0.06	-0.0580029
549	0.03294	-0.0500792	-0.06	-0.0580028
552	0.03312	-0.0500795	-0.06	-0.0580027
555	0.0333	-0.0500797	-0.06	-0.0580026
558	0.03348	-0.05008	-0.06	-0.0580025
561	0.03366	-0.0500803	-0.06	-0.0580024
564	0.03384	-0.0500805	-0.06	-0.0580023
567	0.03402	-0.0500808	-0.06	-0.0580022
570	0.0342	-0.050081	-0.06	-0.0580021
573	0.03438	-0.0500813	-0.06	-0.0580021
576	0.03456	-0.0500816	-0.06	-0.058002
579	0.03474	-0.0500818	-0.06	-0.0580019
582	0.03492	-0.0500821	-0.06	-0.0580019
585	0.0351	-0.0500823	-0.06	-0.0580018
588	0.03528	-0.0500826	-0.06	-0.0580017
591	0.03546	-0.0500828	-0.06	-0.0580017
594	0.03564	-0.0500831	-0.06	-0.0580016
597	0.03582	-0.0500833	-0.06	-0.0580015
600	0.036	-0.0500836	-0.06	-0.0580015
603	0.03618	-0.0500838	-0.06	-0.0580014
606	0.03636	-0.050084	-0.06	-0.0580014
609	0.03654	-0.0500843	-0.06	-0.0580013
612	0.03672	-0.0500845	-0.06	-0.0580013
615	0.0369	-0.0500848	-0.06	-0.0580012
618	0.03708	-0.050085	-0.06	-0.0580012
621	0.03726	-0.0500852	-0.06	-0.0580012
624	0.03744	-0.0500855	-0.06	-0.0580011
627	0.03762	-0.0500857	-0.06	-0.0580011
630	0.0378	-0.0500859	-0.06	-0.058001
633	0.03798	-0.0500862	-0.06	-0.058001
636	0.03816	-0.0500864	-0.06	-0.058001
639	0.03834	-0.0500866	-0.06	-0.0580009
642	0.03852	-0.0500869	-0.06	-0.0580009
645	0.0387	-0.0500871	-0.06	-0.0580009
648	0.03888	-0.0500873	-0.06	-0.0580008
651	0.03906	-0.0500875	-0.06	-0.0580008
654	0.03924	-0.0500878	-0.06	-0.0580008
657	0.03942	-0.050088	-0.06	-0.0580008
660	0.0396	-0.0500882	-0.06	-0.0580007
663	0.03978	-0.0500884	-0.06	-0.0580007
