Time	BR_Ankle MN E	BR_Ankle MN F	BR_Hip MN E	BR_Hip MN F	BR_Knee MN E	BR_Knee MN F	
0.19968	-0.1	-0.06088538	-0.09999985	-0.07425908	-0.1	-0.07854355	
0.20176	-0.1	-0.06081774	-0.0999999	-0.07414056	-0.1	-0.07843824	
0.20384	-0.1	-0.06075051	-0.09999994	-0.07402356	-0.1	-0.07833432	
0.20592	-0.1	-0.06068417	-0.09999996	-0.07390805	-0.1	-0.07823167	
0.208	-0.1	-0.06056996	-0.09999998	-0.073794	-0.1	-0.07813025	
0.21008	-0.1	-0.06040516	-0.09999999	-0.0736814	-0.1	-0.07803002	
0.21216	-0.1	-0.06019979	-0.09999999	-0.07357023	-0.1	-0.07793099	
0.21424	-0.1	-0.06006865	-0.09999999	-0.07346047	-0.1	-0.07783312	
0.21632	-0.1	-0.05991595	-0.09999999	-0.0733521	-0.1	-0.07773643	
0.2184	-0.1	-0.05973255	-0.1	-0.0732451	-0.1	-0.0776409	
0.22048	-0.1	-0.05952739	-0.1	-0.07313945	-0.1	-0.07754651	
0.22256	-0.1	-0.05930971	-0.1	-0.07303514	-0.1	-0.07754844	
0.22464	-0.1	-0.05908595	-0.1	-0.07293215	-0.1	-0.07762564	
0.22672	-0.1	-0.05886011	-0.1	-0.07283046	-0.1	-0.07768778	
0.2288	-0.1	-0.05866366	-0.1	-0.07273006	-0.1	-0.07769667	
0.23088	-0.1	-0.05850306	-0.1	-0.07263091	-0.1	-0.07765467	
0.23296	-0.1	-0.05851824	-0.1	-0.07253302	-0.1	-0.07765041	
0.23504	-0.1	-0.05850353	-0.1	-0.07243636	-0.1	-0.07763495	
0.23712	-0.1	-0.0584298	-0.1	-0.07234092	-0.1	-0.07759633	
0.2392	-0.1	-0.05830964	-0.1	-0.07224669	-0.1	-0.07753184	
0.24128	-0.1	-0.05827682	-0.1	-0.07215363	-0.1	-0.07748699	
0.24336	-0.1	-0.05820265	-0.1	-0.07206175	-0.1	-0.07742627	
0.24544	-0.1	-0.05807067	-0.1	-0.07197102	-0.1	-0.07734415	
0.24752	-0.1	-0.05789268	-0.1	-0.07188144	-0.1	-0.07724454	
0.2496	-0.1	-0.05769297	-0.1	-0.07179298	-0.1	-0.07714441	
0.25168	-0.1	-0.05594674	-0.1	-0.07170562	-0.1	-0.07711564	
0.25376	-0.1	-0.05410073	-0.1	-0.07161937	-0.1	-0.07708827	
0.25584	-0.1	-0.05330511	-0.1	-0.0715342	-0.1	-0.07712768	
0.25792	-0.1	-0.05330315	-0.1	-0.0714501	-0.1	-0.07724179	
0.26	-0.1	-0.05369889	-0.1	-0.07136706	-0.1	-0.07741571	
0.26208	-0.1	-0.05424178	-0.1	-0.07128505	-0.1	-0.07762881	
0.26416	-0.1	-0.05480809	-0.1	-0.07120408	-0.1	-0.07786219	
0.26624	-0.1	-0.05534473	-0.1	-0.07112413	-0.1	-0.07810129	
0.26832	-0.1	-0.05583254	-0.1	-0.07104518	-0.1	-0.0783361	
0.2704	-0.1	-0.05626766	-0.1	-0.07096721	-0.1	-0.07856035	
0.27248	-0.1	-0.05665265	-0.1	-0.07089023	-0.1	-0.07877062	
0.27456	-0.1	-0.05699252	-0.1	-0.07081421	-0.1	-0.07896539	
0.27664	-0.1	-0.05729279	-0.1	-0.07073915	-0.1	-0.07914437	
0.27872	-0.1	-0.05755872	-0.1	-0.07066502	-0.1	-0.079308	
0.2808	-0.1	-0.05779187	-0.1	-0.07059183	-0.1	-0.07945713	
0.28288	-0.1	-0.05720209	-0.1	-0.07051956	-0.1	-0.07959279	
0.28496	-0.1	-0.05682572	-0.1	-0.07044819	-0.1	-0.07965014	
0.28704	-0.1	-0.05642639	-0.1	-0.07037772	-0.1	-0.07967284	
0.28912	-0.1	-0.0560509	-0.1	-0.07030813	-0.1	-0.07968103	
0.2912	-0.1	-0.05572995	-0.1	-0.07023942	-0.1	-0.07968356	
0.29328	-0.1	-0.05553547	-0.1	-0.07017157	-0.1	-0.07965485	
0.29536	-0.1	-0.05531327	-0.1	-0.07010458	-0.1	-0.07958148	
0.29744	-0.1	-0.05501115	-0.1	-0.07003842	-0.1	-0.07947065	
0.29952	-0.1	-0.05463148	-0.1	-0.0699731	-0.1	-0.07933301	
0.3016	-0.1	-0.05420769	-0.1	-0.06990859	-0.1	-0.07917763	
0.30368	-0.1	-0.05376684	-0.1	-0.0698449	-0.1	-0.07901116	
0.30576	-0.1	-0.05332539	-0.1	-0.069782	-0.1	-0.0788381	
0.30784	-0.1	-0.05289182	-0.1	-0.0697199	-0.1	-0.07866149	
0.30992	-0.1	-0.0524696	-0.1	-0.06965858	-0.1	-0.07848332	
0.312	-0.1	-0.05205949	-0.1	-0.06959803	-0.1	-0.07830492	
0.31408	-0.1	-0.05166088	-0.1	-0.06953824	-0.1	-0.07812713	
0.31616	-0.1	-0.05127265	-0.1	-0.06947921	-0.1	-0.07795057	
0.31824	-0.1	-0.05089357	-0.1	-0.06942092	-0.1	-0.07777562	
0.32032	-0.1	-0.05052253	-0.1	-0.06936336	-0.1	-0.07760257	
0.3224	-0.1	-0.05015854	-0.1	-0.06930652	-0.1	-0.0774316	
0.32448	-0.1	-0.04980084	-0.1	-0.06925041	-0.1	-0.07726288	
0.32656	-0.1	-0.0494488	-0.1	-0.069195	-0.1	-0.0770965	
0.32864	-0.1	-0.04910197	-0.1	-0.06914029	-0.1	-0.07693255	
0.33072	-0.1	-0.04875997	-0.1	-0.06908627	-0.1	-0.0767711	
0.3328	-0.1	-0.04842257	-0.1	-0.06903293	-0.1	-0.0766122	
0.33488	-0.1	-0.04808958	-0.1	-0.06898026	-0.1	-0.07645588	
0.33696	-0.1	-0.04776087	-0.1	-0.06892826	-0.1	-0.07630219	
0.33904	-0.1	-0.04743638	-0.1	-0.06887691	-0.1	-0.07615115	
0.34112	-0.1	-0.0472349	-0.1	-0.06882622	-0.1	-0.07600278	
0.3432	-0.1	-0.0470608	-0.1	-0.06877617	-0.1	-0.07586382	
0.34528	-0.1	-0.04691439	-0.1	-0.06872675	-0.1	-0.07573501	
0.34736	-0.1	-0.04677492	-0.1	-0.06867795	-0.1	-0.07561513	
0.34944	-0.1	-0.04660786	-0.1	-0.06862977	-0.1	-0.07549566	
0.35152	-0.1	-0.04642867	-0.1	-0.0685822	-0.1	-0.07536405	
0.3536	-0.1	-0.04675103	-0.1	-0.06853524	-0.1	-0.07525712	
0.35568	-0.1	-0.04739681	-0.1	-0.06848887	-0.1	-0.07518858	
0.35776	-0.1	-0.04874888	-0.1	-0.06844308	-0.1	-0.07511536	
0.35984	-0.1	-0.04977785	-0.1	-0.06839788	-0.1	-0.07501946	
0.36192	-0.1	-0.05041583	-0.1	-0.06835325	-0.1	-0.07490531	
0.364	-0.1	-0.0507642	-0.1	-0.06830919	-0.1	-0.07478034	
0.36608	-0.1	-0.05095092	-0.1	-0.06826568	-0.1	-0.07470134	
0.36816	-0.1	-0.05099776	-0.1	-0.06822273	-0.1	-0.07462743	
0.37024	-0.1	-0.05096762	-0.1	-0.06818033	-0.1	-0.07454634	
0.37232	-0.1	-0.05091314	-0.1	-0.06813847	-0.1	-0.07445659	
