Time	BL_Ankle PF E	BL_Ankle PF F	BL_Hip PF E	BL_Hip PF F	BL_Knee PF E	BL_Knee PF F	
0.29536	-0.05867657	-0.06017099	-0.05867114	-0.06015697	-0.05866836	-0.06012609	
0.29744	-0.05867208	-0.06017084	-0.0586667	-0.06016333	-0.05866395	-0.06013007	
0.29952	-0.05866763	-0.06016287	-0.05866231	-0.06015614	-0.05865959	-0.06013948	
0.3016	-0.05866323	-0.06014882	-0.05865797	-0.06015477	-0.05865527	-0.06014007	
0.30368	-0.05865888	-0.06015127	-0.05865367	-0.06016277	-0.058651	-0.06014843	
0.30576	-0.05865457	-0.06014182	-0.05864941	-0.06015412	-0.05864678	-0.0601413	
0.30784	-0.05865031	-0.06012991	-0.0586452	-0.06016178	-0.05864259	-0.0601523	
0.30992	-0.05864609	-0.06011937	-0.05864104	-0.0601579	-0.05863845	-0.06016842	
0.312	-0.05864191	-0.06010996	-0.05863691	-0.06014947	-0.05863436	-0.0601704	
0.31408	-0.05863778	-0.06010429	-0.05863283	-0.06015346	-0.0586303	-0.06017021	
0.31616	-0.05863369	-0.06010621	-0.05862879	-0.06016221	-0.05862629	-0.06015669	
0.31824	-0.05862964	-0.06011197	-0.0586248	-0.06015227	-0.05862233	-0.06015798	
0.32032	-0.05862564	-0.06012405	-0.05862085	-0.06015579	-0.0586184	-0.06015113	
0.3224	-0.05862168	-0.0601324	-0.05861694	-0.06015376	-0.05861451	-0.06014056	
0.32448	-0.05861776	-0.0601468	-0.05861307	-0.06014907	-0.05861067	-0.06013652	
0.32656	-0.05861389	-0.06015645	-0.05860924	-0.06015284	-0.05860687	-0.06013229	
0.32864	-0.05861005	-0.06016146	-0.05860545	-0.06014873	-0.05860311	-0.06012424	
0.33072	-0.05860625	-0.06017404	-0.05860171	-0.06015335	-0.05859939	-0.06013288	
0.3328	-0.0586025	-0.06017336	-0.058598	-0.06014798	-0.05859571	-0.06014844	
0.33488	-0.05859878	-0.06017798	-0.05859434	-0.06014758	-0.05859207	-0.06014869	
0.33696	-0.05859511	-0.06018797	-0.05859071	-0.06014176	-0.05858846	-0.06015003	
0.33904	-0.05859147	-0.06019393	-0.05858712	-0.06014478	-0.0585849	-0.06014916	
