Time	BL_Ankle MN E	BL_Ankle MN F	BL_Hip MN E	BL_Hip MN F	BL_Knee MN E	BL_Knee MN F	
0.19344	-0.06469343	-0.09999999	-0.07138435	-0.09999875	-0.0579764	-0.09990176	
0.19552	-0.0645472	-0.09999999	-0.0712534	-0.09999922	-0.05793155	-0.09990019	
0.1976	-0.06440305	-0.1	-0.07112414	-0.09999951	-0.05787149	-0.09989862	
0.19968	-0.06426094	-0.1	-0.07099658	-0.09999969	-0.05776802	-0.09989706	
0.20176	-0.06412086	-0.1	-0.07087069	-0.09999981	-0.05762535	-0.09989553	
0.20384	-0.06398274	-0.1	-0.07074645	-0.09999988	-0.05745454	-0.09989402	
0.20592	-0.06384657	-0.1	-0.07062385	-0.09999993	-0.05726567	-0.09989256	
0.208	-0.06371232	-0.1	-0.07050285	-0.09999995	-0.0570662	-0.09989119	
0.21008	-0.06357995	-0.1	-0.07038344	-0.09999997	-0.05685958	-0.09988994	
0.21216	-0.06344944	-0.1	-0.0702656	-0.09999998	-0.0566482	-0.09988879	
0.21424	-0.06332075	-0.1	-0.0701493	-0.09999999	-0.05665005	-0.09988767	
0.21632	-0.06319386	-0.1	-0.07003451	-0.09999999	-0.05664805	-0.09988674	
0.2184	-0.06306873	-0.1	-0.06992123	-0.09999999	-0.05658549	-0.09988604	
0.22048	-0.06294534	-0.1	-0.06980942	-0.09999999	-0.05646097	-0.09988559	
0.22256	-0.06282464	-0.1	-0.06969907	-0.1	-0.05628806	-0.09988534	
0.22464	-0.06274175	-0.1	-0.06959016	-0.1	-0.05608147	-0.09988523	
0.22672	-0.06278502	-0.1	-0.06948265	-0.1	-0.05621908	-0.09988499	
0.2288	-0.06282286	-0.1	-0.06937655	-0.1	-0.05636657	-0.09988444	
0.23088	-0.06281725	-0.1	-0.06927183	-0.1	-0.0564486	-0.09988357	
0.23296	-0.06276598	-0.1	-0.06916846	-0.1	-0.05643656	-0.0998828	
0.23504	-0.06267155	-0.1	-0.06906644	-0.1	-0.05634164	-0.09988195	
0.23712	-0.06254797	-0.1	-0.06896573	-0.1	-0.05619231	-0.09988103	
0.2392	-0.06253385	-0.1	-0.06886632	-0.1	-0.05618729	-0.09988002	
