Time	BR_Ankle PF E	BR_Ankle PF F	BR_Hip PF E	BR_Hip PF F	BR_Knee PF E	BR_Knee PF F	
0.33488	-0.06013817	-0.05859424	-0.06018879	-0.05859531	-0.06013413	-0.05859423	
0.33696	-0.06013476	-0.05859062	-0.06019029	-0.05859168	-0.06012966	-0.05859061	
0.33904	-0.06013478	-0.05858703	-0.0601958	-0.05858808	-0.06013872	-0.05858702	
0.34112	-0.06013539	-0.05858348	-0.06020228	-0.05858452	-0.06014921	-0.05858348	
0.3432	-0.060129	-0.05857997	-0.06018686	-0.058581	-0.06015566	-0.05857997	
0.34528	-0.06013815	-0.05857651	-0.06017531	-0.05857752	-0.06016554	-0.05857649	
0.34736	-0.06015171	-0.05857307	-0.06017278	-0.05857408	-0.06017014	-0.05857306	
0.34944	-0.06016814	-0.05856968	-0.06016262	-0.05857067	-0.06015827	-0.05856967	
0.35152	-0.06016231	-0.05856632	-0.06016805	-0.0585673	-0.06014874	-0.05856631	
0.3536	-0.06016235	-0.058563	-0.06015812	-0.05856397	-0.06014301	-0.05856299	
0.35568	-0.06014865	-0.05855972	-0.06014286	-0.05856068	-0.0601273	-0.0585597	
0.35776	-0.06013763	-0.05855647	-0.06014074	-0.05855742	-0.06012399	-0.05855646	
0.35984	-0.06013361	-0.05855326	-0.06014061	-0.05855419	-0.06012715	-0.05855325	
0.36192	-0.06013462	-0.05855008	-0.06015049	-0.05855101	-0.06012654	-0.05855007	
0.364	-0.06012612	-0.05854694	-0.06016175	-0.05854786	-0.06013687	-0.05854693	
0.36608	-0.06012186	-0.05854383	-0.06015342	-0.05854474	-0.06013492	-0.05854382	
0.36816	-0.06012992	-0.05854076	-0.06014342	-0.05854166	-0.06014614	-0.05854075	
0.37024	-0.06013287	-0.05853773	-0.06013352	-0.05853862	-0.06016069	-0.05853772	
0.37232	-0.06012934	-0.05853472	-0.06012145	-0.0585356	-0.06015581	-0.05853472	
0.3744	-0.06011631	-0.05853175	-0.06011622	-0.05853263	-0.06016428	-0.05853175	
0.37648	-0.06011335	-0.05852882	-0.06011584	-0.05852968	-0.0601597	-0.05852881	
0.37856	-0.0601144	-0.05852592	-0.06011749	-0.05852677	-0.06015447	-0.05852591	
0.38064	-0.06012575	-0.05852305	-0.06011833	-0.05852389	-0.06015376	-0.05852304	
0.38272	-0.06013894	-0.05852021	-0.0601224	-0.05852104	-0.06015405	-0.05852021	
0.3848	-0.06014196	-0.05851741	-0.06013209	-0.05851823	-0.06015592	-0.0585174	
0.38688	-0.06014197	-0.05851463	-0.0601395	-0.05851544	-0.06014397	-0.05851463	
0.38896	-0.06013319	-0.05851189	-0.06015069	-0.0585127	-0.06014443	-0.05851189	
0.39104	-0.06012893	-0.05850918	-0.06015493	-0.05850998	-0.06014071	-0.05850918	
0.39312	-0.06013736	-0.0585065	-0.06015231	-0.05850729	-0.06013472	-0.0585065	
0.3952	-0.06013267	-0.05850386	-0.06015684	-0.05850463	-0.06014207	-0.05850385	
0.39728	-0.06013308	-0.05850124	-0.06016166	-0.05850201	-0.06014027	-0.05850123	
0.39936	-0.06012469	-0.05849865	-0.06014717	-0.05849941	-0.06012504	-0.05849865	
0.40144	-0.06012309	-0.0584961	-0.06013998	-0.05849684	-0.06011658	-0.05849609	
0.40352	-0.060122	-0.05849357	-0.0601334	-0.05849431	-0.06012049	-0.05849356	
0.4056	-0.06013341	-0.05849107	-0.06013142	-0.0584918	-0.06011182	-0.05849106	
0.40768	-0.06014053	-0.0584886	-0.06012409	-0.05848932	-0.06010462	-0.05848859	
0.40976	-0.06013227	-0.05848616	-0.06011165	-0.05848688	-0.0600981	-0.05848615	
0.41184	-0.0601286	-0.05848375	-0.06011882	-0.05848445	-0.06010598	-0.05848374	
0.41392	-0.06011778	-0.05848136	-0.06012756	-0.05848206	-0.06010904	-0.05848136	
0.416	-0.06011926	-0.05847901	-0.06012344	-0.0584797	-0.06011165	-0.058479	
0.41808	-0.06010842	-0.05847668	-0.0601085	-0.05847736	-0.06010645	-0.05847667	
0.42016	-0.06009607	-0.05847438	-0.06010022	-0.05847505	-0.06010167	-0.05847437	
0.42224	-0.06009302	-0.0584721	-0.06010424	-0.05847277	-0.0600994	-0.0584721	
0.42432	-0.06010024	-0.05846985	-0.06011598	-0.05847051	-0.06008903	-0.05846985	
0.4264	-0.0601034	-0.05846763	-0.06011824	-0.05846829	-0.06007684	-0.05846763	
0.42848	-0.06011185	-0.05846544	-0.06011422	-0.05846608	-0.0600768	-0.05846544	
0.43056	-0.06012544	-0.05846327	-0.06012277	-0.05846391	-0.06006998	-0.05846327	
0.43264	-0.06012896	-0.05846113	-0.06012558	-0.05846176	-0.06006248	-0.05846112	
0.43472	-0.06013192	-0.05845901	-0.06013281	-0.05845963	-0.06006429	-0.05845901	
0.4368	-0.06013391	-0.05845692	-0.06014036	-0.05845753	-0.06008018	-0.05845691	
0.43888	-0.06013582	-0.05845485	-0.06013027	-0.05845546	-0.06009148	-0.05845485	
0.44096	-0.06012927	-0.05845281	-0.06011065	-0.05845341	-0.060108	-0.0584528	
0.44304	-0.0601129	-0.05845079	-0.06010335	-0.05845138	-0.06011674	-0.05845078	
0.44512	-0.06009766	-0.0584488	-0.06010366	-0.05844938	-0.06010849	-0.05844879	
0.4472	-0.06009595	-0.05844682	-0.06011068	-0.0584474	-0.06009688	-0.05844682	
0.44928	-0.06008817	-0.05844488	-0.06010202	-0.05844545	-0.06008482	-0.05844487	
0.45136	-0.06009829	-0.05844295	-0.06010064	-0.05844352	-0.06007923	-0.05844295	
0.45344	-0.06010535	-0.05844105	-0.06009979	-0.05844161	-0.06008897	-0.05844105	
0.45552	-0.06010523	-0.05843918	-0.06010152	-0.05843973	-0.0601035	-0.05843917	
0.4576	-0.06011406	-0.05843732	-0.06009578	-0.05843787	-0.06011651	-0.05843732	
0.45968	-0.06011078	-0.05843549	-0.06008251	-0.05843603	-0.06012231	-0.05843548	
0.46176	-0.0601007	-0.05843368	-0.06008967	-0.05843421	-0.06012462	-0.05843368	
0.46384	-0.06009515	-0.05843189	-0.0600804	-0.05843242	-0.0601343	-0.05843189	
0.46592	-0.0600865	-0.05843013	-0.06008382	-0.05843064	-0.06013145	-0.05843012	
0.468	-0.06008018	-0.05842838	-0.06009091	-0.05842889	-0.06013052	-0.05842838	
0.47008	-0.06008855	-0.05842666	-0.06009026	-0.05842716	-0.06011681	-0.05842665	
